"Адыгея", "Адыгейск";
"Сахалин", "Северо-Курильск";
"Сахалин", "Смирных";
"Сахалин", "Томари";
"Сахалин", "Тымовское";
"Сахалин", "Углегорск";
"Сахалин", "Холмск";
"Сахалин", "Шахтерск";
"Сахалин", "Южно-Курильск";
"Сахалин", "Южно-Сахалинск";
"Свердловская обл.", "Алапаевск";
"Свердловская обл.", "Алтынай";
"Свердловская обл.", "Арамиль";
"Свердловская обл.", "Артемовский";
"Свердловская обл.", "Арти";
"Свердловская обл.", "Асбест";
"Свердловская обл.", "Ачит";
"Свердловская обл.", "Байкалово";
"Свердловская обл.", "Басьяновский";
"Свердловская обл.", "Белоярский";
"Свердловская обл.", "Березовский";
"Свердловская обл.", "Богданович";
"Свердловская обл.", "Буланаш";
"Свердловская обл.", "Верхний Тагил";
"Свердловская обл.", "Верхняя Пышма";
"Свердловская обл.", "Верхняя Салда";
"Свердловская обл.", "Верхняя Синячиха";
"Свердловская обл.", "Верхняя Сысерть";
"Свердловская обл.", "Верхняя Тура";
"Свердловская обл.", "Верхотурье";
"Свердловская обл.", "Висим";
"Свердловская обл.", "Волчанск";
"Свердловская обл.", "Воронцовка";
"Свердловская обл.", "Гари";
"Свердловская обл.", "Дегтярск";
"Свердловская обл.", "Екатеринбург";
"Свердловская обл.", "Ертарский";
"Свердловская обл.", "Заводоуспенское";
"Свердловская обл.", "Зыряновский";
"Свердловская обл.", "Зюзельский";
"Свердловская обл.", "Ивдель";
"Свердловская обл.", "Изумруд";
"Свердловская обл.", "Ирбит";
"Свердловская обл.", "Ис";
"Свердловская обл.", "Каменск-Уральский";
"Свердловская обл.", "Камышлов";
"Свердловская обл.", "Карпинск";
"Свердловская обл.", "Карпунинский";
"Свердловская обл.", "Качканар";
"Свердловская обл.", "Кировград";
"Свердловская обл.", "Краснотурьинск";
"Свердловская обл.", "Красноуральск";
"Свердловская обл.", "Красноуфимск";
"Свердловская обл.", "Кушва";
"Свердловская обл.", "Лесной";
"Свердловская обл.", "Михайловск";
"Свердловская обл.", "Невьянск";
"Свердловская обл.", "Нижние Серги";
"Свердловская обл.", "Нижний Тагил";
"Свердловская обл.", "Нижняя Салда";
"Свердловская обл.", "Нижняя Тура";
"Свердловская обл.", "Новая Ляля";
"Свердловская обл.", "Новоуральск";
"Свердловская обл.", "Оус";
"Свердловская обл.", "Первоуральск";
"Свердловская обл.", "Полевской";
"Свердловская обл.", "Пышма";
"Свердловская обл.", "Ревда";
"Свердловская обл.", "Реж";
"Свердловская обл.", "Свердловск";
"Свердловская обл.", "Североуральск";
"Свердловская обл.", "Серов";
"Свердловская обл.", "Сосьва";
"Свердловская обл.", "Среднеуральск";
"Свердловская обл.", "Сухой Лог";
"Свердловская обл.", "Сысерть";
"Свердловская обл.", "Таборы";
"Свердловская обл.", "Тавда";
"Свердловская обл.", "Талица";
"Свердловская обл.", "Тугулым";
"Свердловская обл.", "Туринск";
"Свердловская обл.", "Туринская Слобода";
"Северная Осетия", "Алагир";
"Северная Осетия", "Ардон";
"Северная Осетия", "Беслан";
"Северная Осетия", "Бурон";
"Северная Осетия", "Владикавказ";
"Северная Осетия", "Дигора";
"Северная Осетия", "Моздок";
"Северная Осетия", "Орджоникидзе";
"Северная Осетия", "Чикола";
"Смоленская обл.", "Велиж";
"Смоленская обл.", "Верхнеднепровский";
"Смоленская обл.", "Ворга";
"Смоленская обл.", "Вязьма";
"Смоленская обл.", "Гагарин";
"Смоленская обл.", "Глинка";
"Смоленская обл.", "Голынки";
"Смоленская обл.", "Демидов";
"Смоленская обл.", "Десногорск";
"Смоленская обл.", "Дорогобуж";
"Смоленская обл.", "Духовщина";
"Смоленская обл.", "Екимовичи";
"Смоленская обл.", "Ельня";
"Смоленская обл.", "Ершичи";
"Смоленская обл.", "Издешково";
"Смоленская обл.", "Кардымово";
"Смоленская обл.", "Красный";
"Смоленская обл.", "Монастырщина";
"Смоленская обл.", "Новодугино";
"Смоленская обл.", "Починок";
"Смоленская обл.", "Рославль";
"Смоленская обл.", "Рудня";
"Смоленская обл.", "Сафоново";
"Смоленская обл.", "Смоленск";
"Смоленская обл.", "Сычевка";
"Смоленская обл.", "Угра";
"Смоленская обл.", "Хиславичи";
"Смоленская обл.", "Холм-Жирковский";
"Смоленская обл.", "Шумячи";
"Смоленская обл.", "Ярцево";
"Ставропольский край", "Александровское";
"Ставропольский край", "Арзгир";
"Ставропольский край", "Благодарный";
"Ставропольский край", "Буденновск";
"Ставропольский край", "Георгиевск";
"Ставропольский край", "Дивное";
"Ставропольский край", "Домбай";
"Ставропольский край", "Донское";
"Ставропольский край", "Ессентуки";
"Ставропольский край", "Железноводск";
"Ставропольский край", "Зеленокумск";
"Ставропольский край", "Изобильный";
"Ставропольский край", "Иноземцево";
"Ставропольский край", "Ипатово";
"Ставропольский край", "Карачаевск";
"Ставропольский край", "Кисловодск";
"Ставропольский край", "Кочубеевское";
"Ставропольский край", "Красногвардейское";
"Ставропольский край", "Курсавка";
"Ставропольский край", "Левокумское";
"Ставропольский край", "Минеральные Воды";
"Ставропольский край", "Невинномысск";
"Ставропольский край", "Нефтекумск";
"Ставропольский край", "Новоалександровск";
"Ставропольский край", "Новоалександровская";
"Ставропольский край", "Новопавловск";
"Ставропольский край", "Новоселицкое";
"Ставропольский край", "Преградная";
"Ставропольский край", "Пятигорск";
"Ставропольский край", "Светлоград";
"Ставропольский край", "Солнечнодольск";
"Ставропольский край", "Ставрополь";
"Ставропольский край", "Степное";
"Ставропольский край", "Теберда";
"Ставропольский край", "Усть-Джегута";
"Ставропольский край", "Хабез";
"Ставропольский край", "Черкесск";
"Тамбовская обл.", "Бондари";
"Тамбовская обл.", "Гавриловка Вторая";
"Тамбовская обл.", "Жердевка";
"Тамбовская обл.", "Знаменка";
"Тамбовская обл.", "Инжавино";
"Тамбовская обл.", "Кирсанов";
"Тамбовская обл.", "Котовск";
"Тамбовская обл.", "Мичуринск";
"Тамбовская обл.", "Мордово";
"Тамбовская обл.", "Моршанск";
"Тамбовская обл.", "Мучкапский";
"Тамбовская обл.", "Первомайский";
"Тамбовская обл.", "Петровское";
"Тамбовская обл.", "Пичаево";
"Тамбовская обл.", "Рассказово";
"Тамбовская обл.", "Ржакса";
"Тамбовская обл.", "Староюрьево";
"Тамбовская обл.", "Тамбов";
"Тамбовская обл.", "Токаревка";
"Тамбовская обл.", "Уварово";
"Тамбовская обл.", "Умет";
"Татарстан", "Агрыз";
"Татарстан", "Азнакаево";
"Татарстан", "Аксубаево";
"Татарстан", "Актюбинский";
"Татарстан", "Алексеевское";
"Татарстан", "Альметьевск";
"Татарстан", "Альметьевск";
"Татарстан", "Апастово";
"Татарстан", "Арск";
"Татарстан", "Бавлы";
"Татарстан", "Базарные Матаки";
"Татарстан", "Балтаси";
"Татарстан", "Богатые Сабы";
"Татарстан", "Брежнев";
"Татарстан", "Бугульма";
"Татарстан", "Буинск";
"Татарстан", "Васильево";
"Татарстан", "Верхний Услон";
"Татарстан", "Высокая Гора";
"Татарстан", "Дербешкинский";
"Татарстан", "Елабуга";
"Татарстан", "Заинск";
"Татарстан", "Зеленодольск";
"Татарстан", "Казань";
"Татарстан", "Камское Устье";
"Татарстан", "Карабаш";
"Татарстан", "Куйбышев";
"Татарстан", "Кукмод";
"Татарстан", "Кукмор";
"Татарстан", "Лаишево";
"Татарстан", "Лениногорск";
"Татарстан", "Мамадыш";
"Татарстан", "Менделеевск";
"Татарстан", "Мензелинск";
"Татарстан", "Муслюмово";
"Татарстан", "Набережные Челны";
"Татарстан", "Нижнекамск";
"Татарстан", "Новошешминск";
"Татарстан", "Нурлат";
"Татарстан", "Пестрецы";
"Татарстан", "Рыбная Слобода";
"Татарстан", "Сарманово";
"Татарстан", "Старое Дрожжаное";
"Татарстан", "Тетюши";
"Татарстан", "Чистополь";
"Тверская обл.", "Андреаполь";
"Тверская обл.", "Бежецк";
"Тверская обл.", "Белый";
"Тверская обл.", "Белый Городок";
"Тверская обл.", "Березайка";
"Тверская обл.", "Бологое";
"Тверская обл.", "Васильевский Мох";
"Тверская обл.", "Выползово";
"Тверская обл.", "Вышний Волочек";
"Тверская обл.", "Жарковский";
"Тверская обл.", "Западная Двина";
"Тверская обл.", "Заречье";
"Тверская обл.", "Зубцов";
"Тверская обл.", "Изоплит";
"Тверская обл.", "Калашниково";
"Тверская обл.", "Калинин";
"Тверская обл.", "Калязин";
"Тверская обл.", "Кашин";
"Тверская обл.", "Кесова Гора";
"Тверская обл.", "Кимры";
"Тверская обл.", "Конаково";
"Тверская обл.", "Красный Холм";
"Тверская обл.", "Кувшиново";
"Тверская обл.", "Лесное";
"Тверская обл.", "Лихославль";
"Тверская обл.", "Максатиха";
"Тверская обл.", "Молоково";
"Тверская обл.", "Нелидово";
"Тверская обл.", "Оленино";
"Тверская обл.", "Осташков";
"Тверская обл.", "Пено";
"Тверская обл.", "Рамешки";
"Тверская обл.", "Ржев";
"Тверская обл.", "Сандово";
"Тверская обл.", "Селижарово";
"Тверская обл.", "Сонково";
"Тверская обл.", "Спирово";
"Тверская обл.", "Старица";
"Тверская обл.", "Тверь";
"Тверская обл.", "Торжок";
"Тверская обл.", "Торопец";
"Тверская обл.", "Удомля";
"Тверская обл.", "Фирово";
"Томская обл.", "Александровское";
"Томская обл.", "Асино";
"Томская обл.", "Бакчар";
"Томская обл.", "Батурино";
"Томская обл.", "Белый Яр";
"Томская обл.", "Зырянское";
"Томская обл.", "Итатка";
"Томская обл.", "Каргасок";
"Томская обл.", "Катайга";
"Томская обл.", "Кожевниково";
"Томская обл.", "Колпашево";
"Томская обл.", "Кривошеино";
"Томская обл.", "Мельниково";
"Томская обл.", "Молчаново";
"Томская обл.", "Парабель";
"Томская обл.", "Первомайское";
"Томская обл.", "Подгорное";
"Томская обл.", "Северск";
"Томская обл.", "Стрежевой";
"Томская обл.", "Томск";
"Томская обл.", "Тымск";
"Тува (Тувинская Респ.)", "Ак-Довурак";
"Тува (Тувинская Респ.)", "Бай Хаак";
"Тува (Тувинская Респ.)", "Кызыл";
"Тува (Тувинская Респ.)", "Самагалтай";
"Тува (Тувинская Респ.)", "Сарыг-Сеп";
"Тува (Тувинская Респ.)", "Суть-Холь";
"Тува (Тувинская Респ.)", "Тоора-Хем";
"Тува (Тувинская Респ.)", "Туран";
"Тува (Тувинская Респ.)", "Тээли";
"Тува (Тувинская Респ.)", "Хову-Аксы";
"Тува (Тувинская Респ.)", "Чадан";
"Тува (Тувинская Респ.)", "Шагонар";
"Тува (Тувинская Респ.)", "Эрзин";
"Тульская обл.", "Агеево";
"Тульская обл.", "Алексин";
"Тульская обл.", "Арсеньево";
"Тульская обл.", "Барсуки";
"Тульская обл.", "Бегичевский";
"Тульская обл.", "Белев";
"Тульская обл.", "Богородицк";
"Тульская обл.", "Болохово";
"Тульская обл.", "Велегож";
"Тульская обл.", "Венев";
"Тульская обл.", "Волово";
"Тульская обл.", "Горелки";
"Тульская обл.", "Донской";
"Тульская обл.", "Дубна";
"Тульская обл.", "Епифань";
"Тульская обл.", "Ефремов";
"Тульская обл.", "Заокский";
"Тульская обл.", "Казановка";
"Тульская обл.", "Кимовск";
"Тульская обл.", "Киреевск";
"Тульская обл.", "Куркино";
"Тульская обл.", "Ленинский";
"Тульская обл.", "Новомосковск";
"Тульская обл.", "Одоев";
"Тульская обл.", "Плавск";
"Тульская обл.", "Суворов";
"Тульская обл.", "Тула";
"Тульская обл.", "Узловая";
"Тульская обл.", "Щекино";
"Тульская обл.", "Ясногорск";
"Тюменская обл.", "Абатский";
"Тюменская обл.", "Аксарка";
"Тюменская обл.", "Армизонское";
"Тюменская обл.", "Аромашево";
"Тюменская обл.", "Белоярский";
"Тюменская обл.", "Бердюжье";
"Тюменская обл.", "Большое Сорокино";
"Тюменская обл.", "Вагай";
"Тюменская обл.", "Викулово";
"Тюменская обл.", "Винзили";
"Тюменская обл.", "Голышманово";
"Тюменская обл.", "Губкинский";
"Тюменская обл.", "Заводопетровский";
"Тюменская обл.", "Заводоуковск";
"Тюменская обл.", "Излучинск";
"Тюменская обл.", "Исетское";
"Тюменская обл.", "Ишим";
"Тюменская обл.", "Казанское";
"Тюменская обл.", "Казым-Мыс";
"Тюменская обл.", "Когалым";
"Тюменская обл.", "Кондинское";
"Тюменская обл.", "Красноселькуп";
"Тюменская обл.", "Лабытнанги";
"Тюменская обл.", "Ларьяк";
"Тюменская обл.", "Мегион";
"Тюменская обл.", "Мужи";
"Тюменская обл.", "Муравленко";
"Тюменская обл.", "Надым";
"Тюменская обл.", "Находка";
"Тюменская обл.", "Нефтеюганск";
"Тюменская обл.", "Нижневартовск";
"Тюменская обл.", "Нижняя Тавда";
"Тюменская обл.", "Новый Уренгой";
"Тюменская обл.", "Ноябрьск";
"Тюменская обл.", "Нягань";
"Тюменская обл.", "Октябрьское";
"Тюменская обл.", "Омутинский";
"Тюменская обл.", "Радужный";
"Тюменская обл.", "Салехард";
"Тюменская обл.", "Сладково";
"Тюменская обл.", "Советский";
"Тюменская обл.", "Сургут";
"Тюменская обл.", "Тазовский";
"Тюменская обл.", "Тарко-Сале";
"Тюменская обл.", "Тобольск";
"Тюменская обл.", "Тюмень";
"Тюменская обл.", "Уват";
"Тюменская обл.", "Унъюган";
"Тюменская обл.", "Упорово";
"Тюменская обл.", "Урай";
"Тюменская обл.", "Ханты-Мансийск";
"Тюменская обл.", "Юрибей";
"Тюменская обл.", "Ялуторовск";
"Тюменская обл.", "Яр-Сале";
"Тюменская обл.", "Ярково";
"Удмуртия", "Алнаши";
"Удмуртия", "Балезино";
"Удмуртия", "Вавож";
"Удмуртия", "Воткинск";
"Удмуртия", "Глазов";
"Удмуртия", "Грахово";
"Удмуртия", "Дебесы";
"Удмуртия", "Завьялово";
"Удмуртия", "Игра";
"Удмуртия", "Ижевск";
"Удмуртия", "Кама";
"Удмуртия", "Камбарка";
"Удмуртия", "Каракулино";
"Удмуртия", "Кез";
"Удмуртия", "Кизнер";
"Удмуртия", "Киясово";
"Удмуртия", "Красногорское";
"Удмуртия", "Можга";
"Удмуртия", "Сарапул";
"Удмуртия", "Селты";
"Удмуртия", "Сюмси";
"Удмуртия", "Ува";
"Удмуртия", "Устинов";
"Удмуртия", "Шаркан";
"Удмуртия", "Юкаменское";
"Удмуртия", "Якшур-Бодья";
"Удмуртия", "Яр";
"Ульяновская обл.", "Базарный Сызган";
"Ульяновская обл.", "Барыш";
"Ульяновская обл.", "Большое Нагаткино";
"Ульяновская обл.", "Вешкайма";
"Ульяновская обл.", "Глотовка";
"Ульяновская обл.", "Димитровград";
"Ульяновская обл.", "Игнатовка";
"Ульяновская обл.", "Измайлово";
"Ульяновская обл.", "Инза";
"Ульяновская обл.", "Ишеевка";
"Ульяновская обл.", "Канадей";
"Ульяновская обл.", "Карсун";
"Ульяновская обл.", "Кузоватово";
"Ульяновская обл.", "Майна";
"Ульяновская обл.", "Новая Малыкла";
"Ульяновская обл.", "Новоспасское";
"Ульяновская обл.", "Павловка";
"Ульяновская обл.", "Радищево";
"Ульяновская обл.", "Сенгилей";
"Ульяновская обл.", "Старая Кулатка";
"Ульяновская обл.", "Старая Майна";
"Ульяновская обл.", "Сурское";
"Ульяновская обл.", "Тереньга";
"Ульяновская обл.", "Ульяновск";
"Ульяновская обл.", "Чердаклы";
"Уральская обл.", "Аксай";
"Уральская обл.", "Дарьинское";
"Уральская обл.", "Деркул";
"Уральская обл.", "Джамбейты";
"Уральская обл.", "Джаныбек";
"Уральская обл.", "Казталовка";
"Уральская обл.", "Калмыково";
"Уральская обл.", "Каратобе";
"Уральская обл.", "Переметное";
"Уральская обл.", "Сайхин";
"Уральская обл.", "Уральск";
"Уральская обл.", "Федоровка";
"Уральская обл.", "Фурманово";
"Уральская обл.", "Чапаев";
"Хабаровский край", "Амурск";
"Хабаровский край", "Аян";
"Хабаровский край", "Березовый";
"Хабаровский край", "Бикин";
"Хабаровский край", "Бира";
"Хабаровский край", "Биракан";
"Хабаровский край", "Богородское";
"Хабаровский край", "Болонь";
"Хабаровский край", "Ванино";
"Хабаровский край", "Волочаевка Вторая";
"Хабаровский край", "Высокогорный";
"Хабаровский край", "Вяземский";
"Хабаровский край", "Горный";
"Хабаровский край", "Гурское";
"Хабаровский край", "Дормидонтовка";
"Хабаровский край", "Заветы Ильича";
"Хабаровский край", "Известковый";
"Хабаровский край", "Иннокентьевка";
"Хабаровский край", "Комсомольск-на-Амуре";
"Хабаровский край", "Ленинское";
"Хабаровский край", "Нелькан";
"Хабаровский край", "Николаевск-на-Амуре";
"Хабаровский край", "Облучье";
"Хабаровский край", "Охотск";
"Хабаровский край", "Переяславка";
"Хабаровский край", "Смидович";
"Хабаровский край", "Советская Гавань";
"Хабаровский край", "Софийск";
"Хабаровский край", "Троицкое";
"Хабаровский край", "Тугур";
"Хабаровский край", "Хабаровск";
"Хабаровский край", "Чегдомын";
"Хабаровский край", "Чумикан";
"Хакасия", "Абакан";
"Хакасия", "Саяногорск";
"Ханты-Мансийский АО", "Аган";
"Ханты-Мансийский АО", "Игрим";
"Ханты-Мансийский АО", "Излучинск";
"Ханты-Мансийский АО", "Лангепас";
"Ханты-Мансийский АО", "Лянтор";
"Ханты-Мансийский АО", "Мегион";
"Ханты-Мансийский АО", "Нефтеюганск";
"Ханты-Мансийский АО", "Нижневартовск";
"Ханты-Мансийский АО", "Нягань";
"Ханты-Мансийский АО", "Покачи";
"Ханты-Мансийский АО", "Приобье";
"Ханты-Мансийский АО", "Пыть-Ях";
"Ханты-Мансийский АО", "Радужный";
"Ханты-Мансийский АО", "Сургут";
"Ханты-Мансийский АО", "Урай";
"Ханты-Мансийский АО", "Ханты-Мансийск";
"Ханты-Мансийский АО", "Югорск";
"Челябинская обл.", "Агаповка";
"Челябинская обл.", "Аргаяш";
"Челябинская обл.", "Аша";
"Челябинская обл.", "Бакал";
"Челябинская обл.", "Бреды";
"Челябинская обл.", "Варна";
"Челябинская обл.", "Верхнеуральск";
"Челябинская обл.", "Верхний Уфалей";
"Челябинская обл.", "Еманжелинск";
"Челябинская обл.", "Златоуст";
"Челябинская обл.", "Карабаш";
"Челябинская обл.", "Карталы";
"Челябинская обл.", "Касли";
"Челябинская обл.", "Катав-Ивановск";
"Челябинская обл.", "Копейск";
"Челябинская обл.", "Коркино";
"Челябинская обл.", "Кунашак";
"Челябинская обл.", "Куса";
"Челябинская обл.", "Кыштым";
"Челябинская обл.", "Магнитогорск";
"Челябинская обл.", "Миасс";
"Челябинская обл.", "Озерск";
"Челябинская обл.", "Октябрьское";
"Челябинская обл.", "Пласт";
"Челябинская обл.", "Сатка";
"Челябинская обл.", "Сим";
"Челябинская обл.", "Снежинск";
"Челябинская обл.", "Трехгорный";
"Челябинская обл.", "Троицк";
"Челябинская обл.", "Увельский";
"Челябинская обл.", "Уйское";
"Челябинская обл.", "Усть-Катав";
"Челябинская обл.", "Фершампенуаз";
"Челябинская обл.", "Чебаркуль";
"Челябинская обл.", "Челябинск";
"Челябинская обл.", "Чесма";
"Челябинская обл.", "Южно-Уральск";
"Челябинская обл.", "Юрюзань";
"Чечено-Ингушетия", "Аргун";
"Чечено-Ингушетия", "Грозный";
"Чечено-Ингушетия", "Гудермез";
"Чечено-Ингушетия", "Малгобек";
"Чечено-Ингушетия", "Назрань";
"Чечено-Ингушетия", "Наурская";
"Чечено-Ингушетия", "Ножай-Юрт";
"Чечено-Ингушетия", "Орджоникидзевская";
"Чечено-Ингушетия", "Советское";
"Чечено-Ингушетия", "Урус-Мартан";
"Чечено-Ингушетия", "Шали";
"Читинская обл.", "Агинское";
"Читинская обл.", "Аксеново-Зиловское";
"Читинская обл.", "Акша";
"Читинская обл.", "Александровский Завод";
"Читинская обл.", "Амазар";
"Читинская обл.", "Арбагар";
"Читинская обл.", "Атамановка";
"Читинская обл.", "Балей";
"Читинская обл.", "Борзя";
"Читинская обл.", "Букачача";
"Читинская обл.", "Газимурский Завод";
"Читинская обл.", "Давенда";
"Читинская обл.", "Дарасун";
"Читинская обл.", "Дровяная";
"Читинская обл.", "Дульдурга";
"Читинская обл.", "Жиндо";
"Читинская обл.", "Забайкальск";
"Читинская обл.", "Итака";
"Читинская обл.", "Калга";
"Читинская обл.", "Карымское";
"Читинская обл.", "Кличка";
"Читинская обл.", "Ключевский";
"Читинская обл.", "Кокуй";
"Читинская обл.", "Краснокаменск";
"Читинская обл.", "Красный Чикой";
"Читинская обл.", "Кыра";
"Читинская обл.", "Моготуй";
"Читинская обл.", "Могоча";
"Читинская обл.", "Нерчинск";
"Читинская обл.", "Нерчинский Завод";
"Читинская обл.", "Нижний Часучей";
"Читинская обл.", "Оловянная";
"Читинская обл.", "Первомайский";
"Читинская обл.", "Петровск-Забайкальский";
"Читинская обл.", "Приаргунск";
"Читинская обл.", "Сретенск";
"Читинская обл.", "Тупик";
"Читинская обл.", "Улеты";
"Читинская обл.", "Хилок";
"Читинская обл.", "Чара";
"Читинская обл.", "Чернышевск";
"Читинская обл.", "Чита";
"Читинская обл.", "Шелопугино";
"Читинская обл.", "Шилка";
"Чувашия", "Алатырь";
"Чувашия", "Аликово";
"Чувашия", "Батырева";
"Чувашия", "Буинск";
"Чувашия", "Вурнары";
"Чувашия", "Ибреси";
"Чувашия", "Канаш";
"Чувашия", "Киря";
"Чувашия", "Комсомольское";
"Чувашия", "Красноармейское";
"Чувашия", "Красные Четаи";
"Чувашия", "Кугеси";
"Чувашия", "Мариинский Посад";
"Чувашия", "Моргауши";
"Чувашия", "Новочебоксарск";
"Чувашия", "Порецкое";
"Чувашия", "Урмары";
"Чувашия", "Цивильск";
"Чувашия", "Чебоксары";
"Чувашия", "Шемурша";
"Чувашия", "Шумерля";
"Чувашия", "Ядрин";
"Чувашия", "Яльчики";
"Чувашия", "Янтиково";
"Чукотский АО", "Анадырь";
"Чукотский АО", "Билибино";
"Ямало-Ненецкий АО", "Губкинский";
"Ямало-Ненецкий АО", "Заполярный";
"Ямало-Ненецкий АО", "Муравленко";
"Ямало-Ненецкий АО", "Надым";
"Ямало-Ненецкий АО", "Новый Уренгой";
"Ямало-Ненецкий АО", "Ноябрьск";
"Ямало-Ненецкий АО", "Пуровск";
"Ямало-Ненецкий АО", "Салехард";
"Ямало-Ненецкий АО", "Тарко";
"Ярославская обл.", "Андропов";
"Ярославская обл.", "Берендеево";
"Ярославская обл.", "Большое Село";
"Ярославская обл.", "Борисоглебский";
"Ярославская обл.", "Брейтово";
"Ярославская обл.", "Бурмакино";
"Ярославская обл.", "Варегово";
"Ярославская обл.", "Волга";
"Ярославская обл.", "Гаврилов Ям";
"Ярославская обл.", "Данилов";
"Ярославская обл.", "Любим";
"Ярославская обл.", "Мышкино";
"Ярославская обл.", "Некрасовское";
"Ярославская обл.", "Новый Некоуз";
"Ярославская обл.", "Переславль-Залесский";
"Ярославская обл.", "Пошехонье-Володарск";
"Ярославская обл.", "Ростов";
"Ярославская обл.", "Рыбинск";
"Ярославская обл.", "Тутаев";
"Ярославская обл.", "Углич";
"Ярославская обл.", "Ярославль";
